id,year,fall,name,name_type,mass,latitude,longitude,type
1,1880-01-01T00:00:00.000,Fell,Aachen,Valid,21,50.775000,6.083330,Point
2,1951-01-01T00:00:00.000,Fell,Aarhus,Valid,720,56.183330,10.233330,Point
6,1952-01-01T00:00:00.000,Fell,Abee,Valid,107000,54.216670,-113.000000,Point
10,1976-01-01T00:00:00.000,Fell,Acapulco,Valid,1914,16.883330,-99.900000,Point
370,1902-01-01T00:00:00.000,Fell,Achiras,Valid,780,-33.166670,-64.950000,Point
379,1919-01-01T00:00:00.000,Fell,Adhi Kot,Valid,4239,32.100000,71.800000,Point
390,1949-01-01T00:00:00.000,Fell,Adzhi-Bogdo (stone),Valid,910,44.833330,95.166670,Point
392,1814-01-01T00:00:00.000,Fell,Agen,Valid,30000,44.216670,0.616670,Point
398,1930-01-01T00:00:00.000,Fell,Aguada,Valid,1620,-31.600000,-65.233330,Point
417,1920-01-01T00:00:00.000,Fell,Aguila Blanca,Valid,1440,-30.866670,-64.550000,Point
423,1974-01-01T00:00:00.000,Fell,Aioun el Atrouss,Valid,1000,16.398060,-9.570280,Point
424,1925-01-01T00:00:00.000,Fell,Aïr,Valid,24000,19.083330,8.383330,Point
425,1769-01-01T00:00:00.000,Fell,Aire-sur-la-Lys,Valid,,50.666670,2.333330,Point
426,1949-01-01T00:00:00.000,Fell,Akaba,Valid,779,29.516670,35.050000,Point
427,1838-01-01T00:00:00.000,Fell,Akbarpur,Valid,1800,29.716670,77.950000,Point
432,1959-01-01T00:00:00.000,Fell,Akwanga,Valid,3000,8.916670,8.433330,Point
433,1981-01-01T00:00:00.000,Fell,Akyumak,Valid,50000,39.916670,42.816670,Point
446,1957-01-01T00:00:00.000,Fell,Al Rais,Valid,160,24.416670,39.516670,Point
447,2001-01-01T00:00:00.000,Fell,Al Zarnkh,Valid,700,13.660330,28.960000,Point
448,1806-01-01T00:00:00.000,Fell,Alais,Valid,6000,44.116670,4.083330,Point
453,1766-01-01T00:00:00.000,Fell,Albareto,Valid,2000,44.650000,11.016670,Point
454,1949-01-01T00:00:00.000,Fell,Alberta,Valid,625,2.000000,22.666670,Point
458,2002-01-01T00:00:00.000,Fell,Alby sur Chéran,Valid,252,45.821330,6.015330,Point
461,1835-01-01T00:00:00.000,Fell,Aldsworth,Valid,700,51.783330,-1.783330,Point
462,1873-01-01T00:00:00.000,Fell,Aleppo,Valid,3200,36.233330,37.133330,Point
